Periodo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Variación
1954,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,
1955,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.91
1956,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,9.15
1957,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,25.61
1958,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,7.25
1959,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,6.43
1960,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,6.1
1961,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,4.68
1962,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,5.04
1963,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,33.21
1964,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11.61
1965,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,15.34
1966,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,9.75
1967,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,7.71
1968,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,4.1
1969,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,8.87
1970,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,7.46
1971,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.21,19.46
1972,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,11.96
1973,0.23,0.24,0.24,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.29,25.08
1974,0.3,0.3,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.35,0.36,0.36,25.26
1975,0.37,0.37,0.38,0.39,0.39,0.4,0.4,0.4,0.41,0.42,0.42,0.42,15.94
1976,0.43,0.45,0.45,0.46,0.46,0.48,0.49,0.5,0.51,0.53,0.54,0.55,30.83
1977,0.57,0.57,0.59,0.64,0.67,0.69,0.7,0.71,0.72,0.71,0.72,0.72,30.38
1978,0.72,0.73,0.74,0.75,0.76,0.78,0.78,0.78,0.79,0.8,0.81,0.83,15.12
1979,0.85,0.86,0.89,0.91,0.92,0.93,0.95,0.97,0.99,1,1.02,1.03,24.9
